t	x0	y0	x1	y1	x2	y2
158	-1.788278	0.516951	-0.613833	-0.261246	-0.177184	-0.010693
159	-1.796406	0.520840	-0.617179	-0.259281	-0.182646	-0.007020
160	-1.804483	0.524747	-0.620492	-0.257376	-0.188111	-0.003373
161	-1.812510	0.528669	-0.623769	-0.255533	-0.193579	0.000246
162	-1.820488	0.532603	-0.627009	-0.253752	-0.199048	0.003837
163	-1.828419	0.536547	-0.630210	-0.252035	-0.204518	0.007399
164	-1.836303	0.540499	-0.633373	-0.250382	-0.209989	0.010931
165	-1.844143	0.544457	-0.636496	-0.248794	-0.215459	0.014433
166	-1.851938	0.548418	-0.639577	-0.247272	-0.220929	0.017905
167	-1.859690	0.552381	-0.642617	-0.245816	-0.226397	0.021344
168	-1.867401	0.556343	-0.645614	-0.244427	-0.231862	0.024751
169	-1.875070	0.560302	-0.648568	-0.243105	-0.237324	0.028124
170	-1.882698	0.564257	-0.651478	-0.241851	-0.242783	0.031464
171	-1.890288	0.568205	-0.654345	-0.240665	-0.248237	0.034769
172	-1.897839	0.572146	-0.657166	-0.239548	-0.253685	0.038038
173	-1.905352	0.576076	-0.659942	-0.238500	-0.259127	0.041271
174	-1.912828	0.579995	-0.662671	-0.237522	-0.264563	0.044468
175	-1.920268	0.583900	-0.665353	-0.236614	-0.269991	0.047626
176	-1.927672	0.587790	-0.667987	-0.235777	-0.275410	0.050747
177	-1.935041	0.591664	-0.670570	-0.235013	-0.280820	0.053829
178	-1.942376	0.595520	-0.673102	-0.234324	-0.286221	0.056872
179	-1.949678	0.599356	-0.675579	-0.233710	-0.291610	0.059875
180	-1.956946	0.603171	-0.677999	-0.233175	-0.296987	0.062838
181	-1.964182	0.606963	-0.680357	-0.232721	-0.302352	0.065759
182	-1.971386	0.610732	-0.682649	-0.232352	-0.307704	0.068640
183	-1.978558	0.614476	-0.684868	-0.232073	-0.313041	0.071479
184	-1.985699	0.618192	-0.687007	-0.231890	-0.318364	0.074275
185	-1.992809	0.621881	-0.689056	-0.231811	-0.323670	0.077030
186	-1.999888	0.625541	-0.691003	-0.231845	-0.328959	0.079741
187	-2.006938	0.629171	-0.692831	-0.232003	-0.334230	0.082409
188	-2.013958	0.632768	-0.694523	-0.232302	-0.339482	0.085033
189	-2.020948	0.636333	-0.696055	-0.232759	-0.344714	0.087613
190	-2.027909	0.639862	-0.697402	-0.233395	-0.349924	0.090149
191	-2.034840	0.643357	-0.698538	-0.234232	-0.355112	0.092639
192	-2.041741	0.646813	-0.699454	-0.235282	-0.360275	0.095084
193	-2.048614	0.650231	-0.700174	-0.236533	-0.365413	0.097482
194	-2.055456	0.653608	-0.700752	-0.237950	-0.370524	0.099833
195	-2.062269	0.656943	-0.701252	-0.239490	-0.375606	0.102137
