t	x0	y0	x1	y1	x2	y2
231	3.867879	3.841308	-4.416134	-4.474951	1.157336	5.200792
232	3.885077	3.859453	-4.434002	-4.492437	1.160891	5.225538
233	3.902276	3.877598	-4.451869	-4.509923	1.164445	5.250284
234	3.919474	3.895742	-4.469736	-4.527409	1.167999	5.275030
235	3.936672	3.913887	-4.487604	-4.544895	1.171554	5.299776
236	3.953870	3.932031	-4.505471	-4.562380	1.175108	5.324522
237	3.971068	3.950176	-4.523339	-4.579866	1.178663	5.349268
238	3.988266	3.968321	-4.541206	-4.597352	1.182217	5.374014
239	4.005464	3.986465	-4.559073	-4.614838	1.185771	5.398760
240	4.022662	4.004610	-4.576941	-4.632324	1.189326	5.423506
241	4.039860	4.022754	-4.594808	-4.649810	1.192880	5.448252
242	4.057058	4.040899	-4.612675	-4.667296	1.196435	5.472998
243	4.074256	4.059044	-4.630543	-4.684782	1.199989	5.497744
244	4.091454	4.077188	-4.648410	-4.702268	1.203543	5.522490
245	4.108652	4.095333	-4.666278	-4.719753	1.207098	5.547236
246	4.125850	4.113477	-4.684145	-4.737239	1.210652	5.571982
247	4.143049	4.131622	-4.702012	-4.754725	1.214207	5.596728
248	4.160247	4.149767	-4.719880	-4.772211	1.217761	5.621474
249	4.177445	4.167911	-4.737747	-4.789697	1.221315	5.646221
250	4.194643	4.186056	-4.755615	-4.807183	1.224870	5.670967
251	4.211841	4.204200	-4.773482	-4.824669	1.228424	5.695713
252	4.229039	4.222345	-4.791349	-4.842155	1.231979	5.720459
253	4.246237	4.240490	-4.809217	-4.859641	1.235533	5.745205
254	4.263435	4.258634	-4.827084	-4.877127	1.239087	5.769951
255	4.280633	4.276779	-4.844951	-4.894612	1.242642	5.794697
256	4.297831	4.294923	-4.862819	-4.912098	1.246196	5.819443
257	4.315029	4.313068	-4.880686	-4.929584	1.249751	5.844189
258	4.332227	4.331213	-4.898554	-4.947070	1.253305	5.868935
259	4.349425	4.349357	-4.916421	-4.964556	1.256860	5.893681
260	4.366623	4.367502	-4.934288	-4.982042	1.260414	5.918427
261	4.383822	4.385646	-4.952156	-4.999528	1.263968	5.943173
262	4.401020	4.403791	-4.970023	-5.017014	1.267523	5.967919
263	4.418218	4.421935	-4.987890	-5.034500	1.271077	5.992665
264	4.435416	4.440080	-5.005758	-5.051986	1.274632	6.017411
265	4.452614	4.458225	-5.023625	-5.069471	1.278186	6.042157
266	4.469812	4.476369	-5.041493	-5.086957	1.281740	6.066903
